id,body,message,reference,status
238,"{""WorldRemitId"":""27932739"",""Reference"":""27932739"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""USD"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""14.061072""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254733000000"",""FirstName"":""Jomo"",""MiddleName"":""Test"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27932739,INITIALIZED
246,"{""WorldRemitId"":""27939359"",""Reference"":""27939359"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27939359,INITIALIZED
268,"{""WorldRemitId"":""27941867"",""Reference"":""27941867"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27941867,INITIALIZED
269,"{""WorldRemitId"":""27939758"",""Reference"":""27939758"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27939758,INITIALIZED
302,"{""WorldRemitId"":""27942254"",""Reference"":""27942254"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942254,INITIALIZED
303,"{""WorldRemitId"":""27942300"",""Reference"":""27942300"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942300,INITIALIZED
304,"{""WorldRemitId"":""27942298"",""Reference"":""27942298"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""15958.550000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942298,INITIALIZED
305,"{""WorldRemitId"":""27942301"",""Reference"":""27942301"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942301,INITIALIZED
306,"{""WorldRemitId"":""27942175"",""Reference"":""27942175"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942175,INITIALIZED
313,"{""WorldRemitId"":""27942304"",""Reference"":""27942304"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942304,INITIALIZED
338,"{""WorldRemitId"":""27942302"",""Reference"":""27942302"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942302,INITIALIZED
