id,log_date,product_code,reference,tpg_code,tpg_message,tpg_request,tpg_response,tpg_status,tpg_tran_ref,wr_response_code,wr_response_msg
519,2020-10-26 16:43:12,MobileMoney,27932727,error|-10,Validation Deposit Limits exceeded,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber></accountNumber>
            <paymentReference1>27932727</paymentReference1>
            <paymentReference2>Jomo Test Kiplimo</paymentReference2>
            <paymentReference3>27932727</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Test Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>XO1cDZ1ZAOfNT5oxQHG7vdRTO2+dbNlWqIZ+v0/o5mF/LIrYtQOqp7Xml+fvo9ous7QQAx8TpbkKsjjYXY7oDfj+7Ebsv4Ksm1dFqN+x7ByPYgz51KN007Ug0ghn7xm18qC+OeAO7K9yfNm7NMautw3FOU1c19iuZAWT9nhJHT+H2FVdbkItzBYXtzMm8EXD+pw5dWUdH9LIThUxRD1PFgxHDBh54sjXjAHyg5dnnnRXmy4RhVNaOE5mhpHOZOuSv4YLCUVTI6+xOE/HC9HjZI35uiCT3nn8+dO6rNBQ6MiOJlN9OJUC4gLi7eY3wvPFCca2oSRm5wDKCPysLAradw==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.07</tranAmount>
            <messageID>8e4f3acf75bf40dcbe35cda1bedfe3f3</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode></bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber>254733000000</mobileNumber>
            <walletName>MPESA</walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|-10</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0011,Max amount per transaction for Recipient exceeded
527,2020-10-27 09:19:15,MobileMoney,27946217,error|-4,Transaction Failed- Failed to reach third party system,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber></accountNumber>
            <paymentReference1>27946217</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27946217</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>atUgU1PB1z7rOMYcglrZCZ0zy7v59ykc4aQWICQevtr82xt5VevRCgUjYIFo0RUCDXoeSDxUBbketLeIPi9UkaV3A3EizV0Cex2cNSHYDEf64jNVwSnIjgdec4S+naAuTUUWoyFfTyY5FOLZXequtRxKtNDVjobmy1FePTNL4I2Bu/C8QT/57FAZzs8vza62eRU4XhrFYR5zEqCsVdCTSAUwWnAClIfFc1Gk5HNuBDuMTv1SdiLVgZf9i6kHZtaJvIsBK60b1tq8S0S/h4ErQgq4dWjXusBoeGrO9XGFUXKujQZax1PS9KYh6AeTyrxC7nedWKJ/jr3GAxWKS0sBAA==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>1526.47</tranAmount>
            <messageID>24075fc8e6c3455bbf8f11cc9760a66b</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode></bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber>254722000000</mobileNumber>
            <walletName>MPESA</walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|-4</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0033,Downstream connection/system issue
535,2020-10-27 10:13:04,BankTransfer,27946472,ok|119304131301,Transaction Approved,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>0810197039302</accountNumber>
            <paymentReference1>27946472</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27946472</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>Xrn06215hX33ZeT6XL4Zq66ssC9i7P+vkdFW/PWqTrfM5ZvBKrIzrLIuNV9JtF8KVIA1pQvn4N49cklAwp3HcC6OLiHciFzFBeZcOA4Ev5gE7Y+lfOvx5tC8eLaViEQbRtwwB/Ad2Iyt5aKenl03cplcIOwCYCbuWJlEqFRQTc6GuF32UTiO/nRYc2utgJnJQAI+03m9CIHhTVsxUAepbfh4fq4qsmFxu2NEAynnRKGF/9pwVatgpcTl+amkk0u0tLD+Ma7ydNQ7T2gG8sX36ubHASH4EcdhPsBZ5pMLynpI5Eacrsva4kinV70+b7xdmwmTrMbuzvmQmZxSibjPMg==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>dfba23d57f96401181b01a91611a510b</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>OK|119304131301</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Success,119304131301,0000,Transaction Approved
543,2020-10-27 10:34:07,BankTransfer,27946536,ok|754219133405,Transaction Approved,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>0810197039302</accountNumber>
            <paymentReference1>27946536</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27946536</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>hTHzA6RbInYRNriN5YlE1cWx9ePTFuygp6oSDVjxIGiK5/gOj993XDNG3iA38zI9L9dOsu+JVcqFl/Nx9a7Ti6icqFfan0rYPV+KUATFKpSucUOsGOjdHQRD7xHtpI2k5ruo8q/JutAcCtZ2cC64kFLz7Wy0VhKK49BMGz0EKrBiAmjznXNXjp6vW3+MZsfMQY7XVICGufr6/PA+M4pRE1IfWoMR5NVNXFjdMTgfYmNq9XH+VX8fpVTBgl0noL9kYjYITQx4lqSxsKYQjg1hE1ii0OAtDwz8U+PceTO6n0poRtLQaHrqG0n/BDOKiScCGTtHk1wm9vEWmU8K7tJj1w==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>cc3a79ce6fba41d5823b5731d0c11ff9</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>OK|754219133405</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Success,754219133405,0000,Transaction Approved
559,2020-10-27 13:16:54,BankTransfer,27946589,error|-7,Validation:Transaction Duplicate,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>1222</accountNumber>
            <paymentReference1>27946589</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27946589</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>PvF/pEN3LJpkEC+P3YqlH90YvwVOkVmQSeprIX1lb0yeq0dnAgyK0aOLv0cH6LGFqru2u1GBfKQUpiaoZEif4joqtk2Y1N7nUp/fBSPp87S7xUe5esf4WQFt+asU6vOOHeKMboCJM0zqaCuzWCcmwVErbrzD8T4JCVGZpxdOf4Shd+YsGjAKHQ3VFvx1azEtvG36S10oavQGrjzCwPlqTUr0S4O0Qc7+9r/lrvxNrgqK9ybDOHiPdm8cBqzhXj3Z6ukmMU2SdPMbDG+iHxkLY+kbNYxem5IDLRkMHo/8ChcS3prEohjpwmEjF1NlQrlTSIemMyCOFQ8TnxIRktVYNQ==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>b09ec03d07054552ab1334a9bcf30b4e</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|-7</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0033,Downstream connection/system issue
567,2020-10-27 13:27:32,BankTransfer,27947056,error|114|00473980162731,Invalid Account Number,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>1222</accountNumber>
            <paymentReference1>27947056</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27947056</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>IHxdm8wCu36WqQ0v54dKS+AVUF7ylhclf7oS3hNoxmQqhzHue/V7c26ZzY812VzWuzL/hWNei7hJISnZ/bwmX4DhJNZCUK0zc0JZPW1j8LHD3rx2lYCZ1m56nQMFjAmJXxC4X+YOLm+210XW7+K5xjYpUNWX6Nqf0cSsK8Zmi+1rOvv8ORyTN6VRfsExaVayNIRaWGiX6oIUEwh8kEv/pU6kAnb/UDztc81+oFjyxiXMXpIOkV2GMMeAcx0anVv+Wwi89C4qG/x/ziU3SVUyxTqlFueaAKvn0WvvvdgOj62Q0otY7Gnx+R4HGHYdj8cryXvbxQlqVWL2Z7qOrcpe+A==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>bfcab6296e2f4eee8ace005d89001f9b</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|114|00473980162731</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0001,Bank account number invalid
575,2020-10-27 14:12:56,BankTransfer,27947109,error|114|00579530171256,Invalid Account Number,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>1222</accountNumber>
            <paymentReference1>27947109</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27947109</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>dkx8eGdsRNeBN1AP9PefPV3a4CgRKxv1GIRcKQebQtjwfguXHexTJGqi9GdRYtKRRu3J1PFWltxAKkTzObqvmlleDoXGPjYla+fwdx79rqMeSyYcrP3lQBVbZ6GEyTEq0SMT9laAIO1HCF7QuwS+VBWk6yWl2+aEU+c4dSbs8JbpQunWx/JruPy6Zg++eaA/9nE6JjZ/uSmcyiYIovCrVSPYucbk4Lpd8vmYAui2NhgB9gvWx9kcXVqy+iXW46rqQGbEWPb40TGRj4G81f1lPw0YzXWqPeXrD3q6aXLD41wTuI3UD1wMl7pNN6WHgCTIqrx+h6YYgcVCeh6F4f+MRQ==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>d15c059627604fba9e8da3cb9489e8cd</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|114|00579530171256</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0001,Bank account number invalid
583,2020-10-27 14:15:25,BankTransfer,27947114,ok|420408171522,Transaction Approved,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>0810197039302</accountNumber>
            <paymentReference1>27947114</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27947114</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>H7iuGRn2lY4/cXYlF5BEE1FsnlyWpG8oXulzTANCV2FhaVxl2IHWVAV8W1tkRwSPdt4su34Z+nYGlayTzX968Lw9WfhNmqc7iEjRq6e/+2qdFDzy5as2WPK5ezyPsHL3mb179AmG8gmI82FfLMEy/52WLrNkYS/1lWtgACmZCnxCDxLrurkn2zQvKdO2ozuXsNm6QNYLQId5RzCZn0QQcPqZ7W+GGqh+QCvEcMfu2KSCmTXz+m50o6TtIO39vb9aJSTeQ0pTlCOcdDLs2Jwe1gMgFFEkgEiLIj5y5YwACx96citeA8QoXiodWws4LKEeURDGaw/DZWo7/H6j7BZEoA==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>2ba35a1c030e4ac5bc2fb060674ec596</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>OK|420408171522</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Success,420408171522,0000,Transaction Approved
591,2020-10-27 14:36:13,BankTransfer,27947143,ok|630818173611,Transaction Approved,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber>0810197039302</accountNumber>
            <paymentReference1>27947143</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27947143</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>NVQQN9VCxdljLiTUAM6awwR+6fx+zJ6/bJE6gK9oDzLnv4wfnVpBCpWZ81iKICtq/iQL6kfHI+mAP/1WTA+jxyc3lfmlJir0qVaOTI0QduCAB7iGmUmoK9fL28LNLL6UEV4snodWcqsVsIWmVbe+fAXwtRP9O+lavx6gkdZKrlIsBYcXpaZa0hiEvPsXYpZ9onjggYGzeAkM6SbJGzEgc2cdIy717orUJbs9uAyUattatlP2DUKu8+8FQMBNH82jkcx+ivqatBMzLMI2ousrtNHIf63Sh1368nZ1+BC3z22jWi5KqFLeuW5HhWt96DbkW30rGAWeSqJThCo5HTYa/Q==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>14.25</tranAmount>
            <messageID>db82c0666e5e4830a62d6f4b73b2d2ad</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode>EQBLKENA</bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber></mobileNumber>
            <walletName></walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>OK|630818173611</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Success,630818173611,0000,Transaction Approved
599,2020-10-27 15:09:34,MobileMoney,27947168,error|-4,Transaction Failed- Failed to reach third party system,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<S:Envelope xmlns:S=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns2=""http://ws.equitybank/"">
    <S:Body>
        <ns2:tranApplyRequest>
            <accountNumber></accountNumber>
            <paymentReference1>27947168</paymentReference1>
            <paymentReference2>Jomo Joshua Kiplimo</paymentReference2>
            <paymentReference3>27947168</paymentReference3>
            <paymentType>WorldRemit</paymentType>
            <remarks>Jomo Joshua Kiplimo</remarks>
            <agentID>2448</agentID>
            <check>cz2QTWrLDh/KjQnHvLSmTnDpqzqNfgNn2ltcnD5NXK951U436Nm0KcM8py08Bz8nW19eqjLHNU3/zFrDechlJV0T+5uDxO2tWCJEbmpb+5skdf4zgPMiwYEfQfTU7LcyFl9wKhC7XskImtkQMydPRqZ3GFvte+ysgGbj53b1vjulj3Yg0I0yGLPlv54spwkYpxJEqHOzSKlRjvzGzahIsZAKgW/w00kdFKp4Mhit8jT7z6sD3YUnGGY4yNFjvPo3Xs41ASqMsfp4VC27v6bSWwHf6/8C9IzuvyZ8IIzkkQli22lz2XAgrE/rp4q7bjnAahX3k1T/ed8U282chfx7lg==</check>
            <fees>0.0</fees>
            <instCode>KE</instCode>
            <tranAmount>1526.47</tranAmount>
            <messageID>44c896fe96d34fb3be5f81d38f57e766</messageID>
            <currencyCode>KES</currencyCode>
            <countryCode>KE</countryCode>
            <bicCode></bicCode>
            <senderName>Andrii Ol Borysenko</senderName>
            <mobileNumber>254722000000</mobileNumber>
            <walletName>MPESA</walletName>
        </ns2:tranApplyRequest>
    </S:Body>
</S:Envelope>
","<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/""><soap:Body><ns2:tranApplyRequestResponse xmlns:ns2=""http://ws.equitybank/""><return>ERROR|-4</return></ns2:tranApplyRequestResponse></soap:Body></soap:Envelope>",Failed,,0033,Downstream connection/system issue
